自创语词汇,IPA音标,TTS友好拼写
venenat,/vɛnɛnat/,ve-ne-nat
exteriōrit,/ɛkstɛriɔrit/,ek-ste-ri-o-rit
trans,/trans/,trans
gravat,/ɡraˈvat/,gra-vat
hodie,/ˈhɔ.dɪ.ɛ/,HOH-dee-eh
lucidat,/luːˈkɪ.dat/,loo-KIH-dat
ūn,/uːn/,uun
[隐含于语境],,[隐含于语境]
anar,/aˈnar/,anar
ad fluv,/ad ˈfluːv/,ad fluv
tro dens,/tro dens/,tro dens
viam,/vi.am/,vi am
maxat,/ˈmak.sat/,MAK-sat
friget,/ˈfri.ɡɛt/,FRI-get
volo at,/ˈvo.lo at/,VO-lo at
venabit,/weˈna.bit/,ve-NA-bit
apt,/apt/,apt
port,/pɔrt/,port
movet,/ˈmo.vɛt/,MOH-vet
arboris,/arˈbo.rɪs/,ar-BOH-ris
frakt,/frakt/,frakt
val,/val/,val
ekot,/ɛkɔt/,ekot
gravat prope,/ˈɡɾa.vat ˈpɾɔ.pɛ/,GRA-vat PRO-pe
vidat,/ˈvi.dat/,VIH-daat
videt,/viˈdɛt/,vi-det
montem,/ˈmɔn.tɛm/,MON-tem
sta viā,/sta ˈwi.a/,sta via
cede,/ˈke.de/,ce de
tro,/tɾɔ/,tro
lent,/lɛnt/,lent
mecum,/meˈkum/,MEH-koom
duco,/ˈdu.ko/,DOO-koh
grak,/ɡɾak/,grak
unus bit,/ˈu.nus bit/,unus bit
marg,/marɡ/,marg
urgit,/urˈɡit/,UR-git
lentat,/lɛnˈtat/,len-TAT
Atende,/aˈtɛn.dɛ/,a-TEN-de
nepraeparat,/nɛ.prae̯.ˈpa.rat/,ne-prae-PA-rat
tard,/tard/,tard
advenit,/adˈwe.nit/,ad-VEH-nit
viator,/viˈa.tor/,vi-A-tor
hom,/hɔm/,hom
atenar,/aˈtɛ.nar/,atenar
rapidat,/raˈpi.dat/,ra-PI-dat
super tempus anar,/ˈsu.per ˈtɛm.pus ˈa.nar/,SU-per TEM-pus A-nar
vin,/vɪn/,vin
vōlō,/ˈvoː.loː/,VO-lo
mol,/mol/,mol
ne-dorm-anar,/nɛ.dɔɾ.ma.naɾ/,ne-dorm-anar
caelum,/ˈkailum/,CAE-lum
neālget,/neˈalɡet/,ne-AHL-get
gelat,/ˈɡɛlat/,GEH-lat
klag,/klaɡ/,klag
dormit meridiat,/dɔr.mɪt me.rɪˈdi.at/,dormit meridiat
ronkat,/rɔn.kat/,RON-kat
ne gravet,/nɛ ˈɡra.vɛt/,neh GRAH-vet
altat,/alˈtat/,al-TAT
ten...at,/tɛn ... at/,ten [object] at
ambulat,/amˈbu.lat/,ambulat
pes sonat,/pɛs sɔnat/,pes sonat
tenet at korpu,/ˈtɛ.nɛt at ˈkɔɾ.pu/,TEH-net at KOR-pu
murus,/ˈmu.rus/,MU-rus
fortis,/ˈfɔr.tis/,FOR-tis
secur est,/ˈsɛ.kur ɛst/,SEH-kur est
patrulat,/paˈtru.lat/,pa-TRU-lat
mutabit,/muˈta.bit/,mu-TA-bit
nomen,/ˈnɔ.mɛn/,NO-men
noctes tenat,/ˈnɔk.tɛs ˈtɛ.nat/,NOK-tes TE-nat
sentinel,/sɛnˈti.nɛl/,sentinel
non tenat,/nɔn ˈtɛ.nat/,non TEN-at
reparat,/rɛ.pa.ˈrat/,reparat
bellatres,/belˈla.tres/,bellatres
via,/ˈvi.a/,VI-a
transir,/tranˈsir/,transir
unus dius,/ˈu.nus ˈdi.us/,unus dius
pes tenat,/pɛs ˈtɛ.nat/,pes TEN-at
riv,/rɪv/,riv
nav,/nav/,nav
du,/du/,DU
errat,/ɛˈrat/,eh-RAT
markat,/marˈkat/,mar-KAT
montan,/mɔnˈtan/,montan
atentat,/a.tɛnˈtat/,atentat
orient fluv,/ɔ.ri.ɛnt fluː/,orient fluv
dus grav,/dus ɡraː/,dus grav
nigrat,/ˈni.ɡɾat/,NI-grat
vicunus,/vi.ˈku.nus/,vi-KU-nus
bagaj,/baˈɡaʒ/,bagaj
bestia,/ˈbɛs.ti.a/,BES-tee-a
gardat,/ˈgar.dat/,GAR-dat
bitu,/ˈbi.tu/,BITU
aliquando,/a.li.ˈkwan.do/,aliquando
volo,/ˈvo.lo/,volo
gravanar,/ɡɾaˈva.nar/,gra-VA-nar
facit,/fa.kɪt/,FAH-kit
ne-tenat,/neˈtɛnat/,ne-tenat
memorat,/mɛ.mɔ.rat/,memorat
volanar,/voˈla.nar/,vo-LA-nar
disputat,/disˈpu.tat/,dis-PU-tat
semper,/ˈsɛm.pɛr/,SEM-per
res,/rɛs/,RES
ment,/mɛnt/,ment
non mal,/nɔn mal/,non mal
alqua res,/ˈal.kʷa rɛs/,AL-kwa res
mult,/mult/,mult
pens,/pɛns/,pens
multa,/mul.ta/,multa
dum,/dum/,dum
dicat,/diˈkat/,di-KAT
vitam quietam ducere,/ˈwi.tam ˈkwi.e.tam duˈke.re/,VITAM QUIETAM DUCERE
aliquot,/a.li.ˈkɔt/,a-li-kot
fractanar,/frakˈta.nar/,frak-TAH-nar
usat,/uˈsat/,u-sat
nean,/ˈne.an/,NEH-ahn
ne-integritat,/nɛ.inˈtɛ.ɡri.tat/,ne integritat
ha pano,/ha ˈpanɔ/,ha PA-no
atit,/aˈtit/,a-TIT
gravit,/ˈɡɾa.vɪt/,GRAV-it
ne-havat,/nɛˈha.vat/,nehavat
pell,/pel/,pell
domus,/ˈdo.mus/,DOM-us
ne,/nɛ/,ne
velox,/ˈwe.lɔks/,VE-lox
foris,/ˈfɔ.rɪs/,FOR-is
canis,/ˈka.nɪs/,KA-nis
venat,/ˈve.nat/,VE-nat
uvin,/uˈvɪn/,uvin
kagran,/kaˈɡran/,ka-gran
nocte,/ˈnɔk.tɛ/,NOCK-teh
herb-at,/ˈhɛr.bat/,HERB-at
ne-ten,/nɛ.tɛn/,ne-ten
cadanar,/kaˈdanar/,ca-da-nar
orat,/ɔˈɾat/,OR-at
dies,/diɛs/,dies
abit,/aˈbit/,abit
tempat,/tɛm.pat/,TEMP-at
rapid,/raˈpɪd/,ra-PID
septimana,/sɛp.tiˈma.na/,sep-ti-MA-na
decisat,/deˈkɪ.sat/,deh-KIH-sat
venat non tempus,/ˈwe.nat non ˈtɛm.pus/,VEH-nat non TEM-pus
celerat,/ˈkɛ.le.rat/,KEH-leh-rat
finitat,/fi.niˈtat/,finitat
atendat,/aˈtɛn.dat/,a-TEN-dat
eo dom,/ɛɔ dɔm/,eo dom
intrat,/ɪnˈtɾat/,in-trat
castrum,/ˈkas.tɾum/,kas-trum
alius,/ˈa.lɪ.us/,a-li-us
regul,/ˈre.ɡul/,REH-gool
ruptit,/ˈrup.tit/,ROOP-tit
ludi,/ˈlu.di/,LUH-dee
rivu,/ˈri.vu/,REE-voo
furat,/fuˈɾat/,fu-RAT
punibit,/puˈni.bit/,pu-NI-bit
senior,/sɛˈnɪɔ/,se-ni-or
sol,/sɔl/,sol
port-at,/pɔrˈtat/,port-at
bon-at,/bɔnat/,bonat
res alius,/rɛs ˈa.li.us/,RES AH-lee-us
unus quisque,/ˈu.nus ˈkʷis.kʷɛ/,UNUS KWIS-KWE
viatorem,/wi.aˈta.rɛm/,WI-A-TA-REM
publik,/puˈblɪk/,publik
net,/nɛt/,net
regulan,/rɛˈɡu.lan/,re-gu-lan
puniat,/puˈni.at/,pu-ni-at
avōs,/aˈvoːs/,a-VOSS
regulā,/reˈɡu.laː/,re-GU-laa
relīctā,/reˈliːk.taː/,re-LIIK-taa
sutr,/sutɾ/,sutr
generat,/ɡɛnɛɾat/,generat
habitat,/haβitat/,habitat
dux,/duks/,duks
rit,/rɪt/,rit
frater,/ˈfra.ter/,FRA-ter
non multu,/nɔn mul.tu/,non multu
clan,/klaːn/,klaan
senex unus,/ˈse.nɛks ˈu.nus/,SEH-neks OO-nus
dom,/dɔm/,dom
artis,/ˈar.tɪs/,artis
soror,/ˈsɔ.rɔr/,soror
duxit,/ˈduks.it/,duxit
omnis gens,/ˈɔm.nɪs ɡɛns/,OM-nis GENS
una,/ˈu.na/,U-na
eficat,/ɛˈfɪ.kat/,e-FI-kat
regul nos,/ˈrɛ.ɡul nɔs/,REG-ul NOS
oblitat,/ɔb.liˈtat/,ob-lee-TAT
avus,/a.vus/,AV-us
udu,/u.du/,U-du
form,/fɔrm/,form
ne-normal,/nɛ nɔrmal/,ne-normal
valde,/ˈwal.de/,VAL-de
longe,/ˈlɔŋ.ɛ/,LON-geh
nebulet,/nɛˈbu.lɛt/,neh-BOO-let
lax,/laks/,laks
venit,/ˈve.nit/,venit
flor-at,/flɔˈrat/,flor-at
cel,/kɛl/,kel
super via,/ˈsu.pɛɾ ˈvi.a/,SU-per VI-a
musc-at,/ˈmus.kat/,MUS-kat
puz,/puz/,puz
klar,/klar/,klar
rorat,/ˈrɔ.rat/,rorat
tot,/tot/,tot
silva,/ˈsil.va/,SIL-va
densa,/ˈden.sa/,DEN-sa
pretium,/ˈpre.ti.um/,PRE-ti-um
altum est,/ˈal.tum est/,AL-tum est
pelles,/ˈpel.les/,PEL-les
valent,/ˈwa.lɛnt/,valent
tantu,/ˈtan.tu/,tantu
plu,/plu/,plu
promitat,/pro.mi.tat/,promitat
negotium,/nɛˈɡɔ.ti.um/,ne-go-ti-um
aequat,/aɛˈkwat/,a-e-quat
pel,/pɛl/,pel
vendanar,/venˈda.nar/,VEN-dah-nar
multa res,/ˈmul.ta res/,MUL-tah res
vendit,/ˈvɛn.dɪt/,ven-dit
plur komprat,/plur kɔmˈprat/,plur kom-prat
redus,/ˈrɛdus/,re-dus
prīm,/priːm/,prim
solvat,/ˈsɔl.vat/,solvat
alter dimid,/ˈal.tɛr ˈdi.mid/,alter dimid
tenanar,/tɛˈna.nar/,teh-NAH-nar
ferr vinat,/fɛr vɪˈnat/,fehr vih-NAT
trene,/ˈtɾɛ.nɛ/,TREH-neh
aten,/a.ˈtɛn/,ah-TEN
manus tradit,/ˈma.nus ˈtra.dɪt/,MAH-noos TRAH-dit
tradit,/ˈtra.dɪt/,TRAH-dit
art manus,/art ˈmanus/,art MAN-us
disco,/ˈdis.ko/,DIS-ko
plantat,/planˈtat/,plan-TAT
Aliqua res,/aˈli.kwa rɛs/,Aliqua res
ten-et,/ˈtɛ.nɛt/,tenet
magister,/maˈɡis.ter/,magister
praktik,/ˈprak.tɪk/,PRAK-tik
art,/art/,ART
orient,/ɔ.ri.ɛnt/,orient
practicat,/praˈtɪ.kat/,practicat
dol,/dɔl/,dol
ne-at,/nɛ.at/,neat
tro mult,/tɾɔ mul t/,tro mult
tumefat,/tu me fat/,tumefat
non tenet,/nɔn ˈtɛ.nɛt/,non tenet
neovat,/neˈɔ.vat/,neh-OH-vat
fragilabit,/fraˈɡi.la.bit/,frah-GEE-lah-bit
suficit,/suˈfi.kit/,suficit
morbit,/ˈmɔr.bit/,MOR-bit
vuln,/vuln/,vuln
dolor dors,/ˈdo.lor dors/,DOH-lor DORS
dus,/dus/,DOOS
frig,/fɾɪɡ/,frig
longat,/lɔŋɡat/,longat
sudat,/suˈdat/,sudat
tergat,/tɛrˈɡat/,tergat
vesperanar,/vɛs.pɛ.ra.nar/,VES-peh-rah-nar
sacrif,/saˈkɾif/,sacrif
canta,/ˈkan.ta/,CAN-ta
valle,/ˈval.lɛ/,VAL-le
totanar,/toˈta.nar/,to-TA-nar
gravat dusat,/ˈɡɾav.at ˈdus.at/,gravat dusat
di,/di/,di
festa,/ˈfɛs.ta/,FES-ta
ordan,/ɔrˈdan/,or-DAN
lok,/lɔk/,LOK
ignat,/ɪɡˈnat/,ig-NAT
viam noctis,/ˈvi.am ˈnɔk.tɪs/,VEE-am NOK-tis
celebrit,/kɛ.lɛ.ˈbɾit/,keh-leh-BRIT
bonanar,/bɔ.na.nar/,bo-na-nar
hodie nocte,/ˈho.di.e ˈnɔk.te/,HO-di-e NOK-te
ludet,/luˈdet/,lu-DET
vetus,/ˈwe.tus/,VEH-tus
sonit,/ˈsɔ.nɪt/,sonit
rog,/rɔɡ/,rog
retro caput,/ˈrɛ.trɔ ˈka.put/,RE-tro KA-put
finit,/fiˈnit/,fin-it
specialat,/speˈt͡ʃa.lat/,spe-CHI-a-lat
facil,/faˈkil/,fa-kil
Sic fiat,/sɪk ˈfi.at/,Sik Fi-at
tenit,/ˈtɛ.nɪt/,TEN-it
ne-,/nɛ/,ne
ad temp,/ad ˈtɛmp/,ad temp
las,/las/,las
dusenar,/duˈsɛ.nar/,dusenar
obcurat,/ɔbˈku.rat/,ob-ku-rat
sensus communis,/ˈsɛn.sus kɔˈmu.nis/,SEN-sus KO-mu-nis
hoc,/hɔk/,HOK
laz,/laz/,laz
sic,/sɪk/,sik
simplic,/sɪmˈplɪk/,simplic
torment,/tɔrˈmɛnt/,torment
curat,/kuˈɾat/,ku-RAT
clusat,/kluˈsat/,kloo-SAT
plenat,/plɛˈnat/,pleh-nat
lut,/lut/,lut
ne-gravat,/nɛ ˈɡɾa.vat/,ne-gravat
swat,/swat/,swat
lav,/laʋ/,lav
ob-tenat,/ɔbˈtɛnat/,ob-tenat
ign grav,/iɡn ɡɾav/,ign grav
homan,/ho.man/,homan
sedat,/se.dat/,sedat
fokar,/ˈfo.kar/,FOH-kar
purgat,/purˈɡat/,pur-GAT
aquat,/aˈkʷat/,a-kwat
igngrav,/ɪɡˈnɡrav/,ig-NAV
murten,/ˈmur.tɛn/,MUR-ten
fum,/fum/,fum
kaminit,/ka.mi.nit/,ka-mi-nit
crak,/kɾak/,cra-k
fenestra,/feˈnes.tra/,fe-nes-tra
reparabit,/re.paˈra.bit/,re-pa-ra-bit
gradus,/ˈɡɾa.dus/,GRAH-dus
oleat,/ɔˈle.at/,o-le-at
ne-bit,/ˈne.bit/,ne-bit
angul mur,/ˈaŋ.ɡul mur/,ANG-ul mur
arane ret,/aˈra.ne ret/,a-RA-ne ret
stabilit,/staˈbilɪt/,stabilit
platt,/plat/,platt
nebonat,/neˈbon.at/,nebonat
linat,/ˈli.nat/,LIN-at
udranar,/u.draˈnar/,u-DRA-nar
hortu,/ˈhɔr.tu/,HORT-oo
foc,/fɔk/,foc
ebullit,/ɛ.bu.lɪt/,ebullit
oll-kap,/ˈɔl.kap/,oll-kap
dus venit,/dus ˈve.nɪt/,dus venit
lavat,/laˈvat/,lavat
gladi,/ˈɡla.di/,GLAH-dee
mol-at,/ˈmol.at/,MOH-lat
vas,/vas/,vas
saccus oryzae,/ˈsak.kus oˈry.zae̯/,SAK-kus o-RY-zay
farin,/faˈrin/,FAH-rin
vasat,/vaˈsat/,va-sat
flascul oleat,/ˈflas.kul oˈle.at/,FLAS-kul oh-LEH-at
ob-at,/ɔˈbat/,o-bat
